Kabupaten/Kota,Tahun,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Jumlah Penduduk (Ribu),Persentase Penduduk (Persen),Persentase Penduduk Miskin (Persen),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja - Agustus,Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (kmÂ²),Gini Ratio
Jombang,2022,"1115,09","74,66","13,58","8,76","98,91","98,76","88,17","18,45","14,21",1.335.97,"3,25","9,04","5,47","66,65",11579,"99,07","0,77","1,204","0,31"
Nganjuk,2022,"1224,25","73,95","13,07","8,12","99,96","97,76","84,17","14,28","13,13",1.117.03,"2,71","10,7","4,74","66,79",12349,"98,67","0,68",867,"0,301"
Madiun,2022,"1037,58","73,51","13,18","7,94","99,25","98,43","73,09","16,6","12,33","757,67","1,84","10,79","5,84","72,72",11848,"94,79","1,02","6,668","0,354"
Magetan,2022,"688,84","75,76","14,05","8,66","99,85","99,7","85,87","23,17","12,22","678,34","1,65","9,84","4,33","74,03",12031,"98,71","0,64",960,"0,352"
Ngawi,2022,"1295,98","72,62","12,84","7,59","99,57","98,73","76,37","12,45","11,67","877,43","2,13","14,15","2,48","78,6",11563,"99,16","0,48",629,"0,3"
Bojonegoro,2022,"2198,79","71,15","12,84","7,43","99,99","97,56","83,76","14,63","12,21",1.315.13,"3,2","12,21","4,69","72,16",10323,"96,51","0,59",569,"0,28"
Tuban,2022,"1834,15","70,79","12,24","7,37","99,46","96,58","64,64","13,93","12,69",1.209.54,"2,94","15,02","4,54","73,63",10703,"97,51","0,55",613,"0,345"
Lamongan,2022,"1782,05","74,83","14,01","8,33","99,99","98,95","73,67",23,"9,39",1.371.51,"3,33","12,53","6,05","69,3",11648,"78,56","1,16",783,"0,273"
Gresik,2022,"1191,25","77,62","13,96","9,75","99,7","98,51","83,16","26,57","13,10",1.332.66,"3,24","11,06","7,84","68,3",13384,"91,5","0,93","1,061","0,363"
Bangkalan,2022,"1001,44","66,11","11,91","5,97","99,99","99,19","49,15","15,46","13,90",1.086.62,"2,64","19,44","8,05","73,86",8971,"93,91","1,41",835,"0,306"
Sampang,2022,"1233,08","65,44","12,39","5,06","99,07","92,68","55,75","15,91","11,22","984,16","2,39","21,61","3,11","73,37",8944,"93,25","0,85",801,"0,28"
Pamekasan,2022,"792,24","69,35","13,67","6,88","99,41",98,"73,26","16,32","9,39","857,82","2,08","13,93","1,4","73,59",8967,"95,24","0,52","1,079","0,305"
Sumenep,2022,"1998,54","68,49","13,51","5,93","99,74","97,79","78,65","18,54","7,51",1.136.63,"2,76","18,76","1,36","75,12",9388,"94,6","0,62",545,"0,266"
Kota Kediri,2022,"63,4","80,12","15,44","10,45","99,87","98,74","87,08","28,66","15,73","289,42","0,7","7,23","4,38","69,93",12762,"99,77","0,52","4,305","0,371"
Kota Blitar,2022,"32,57","80,15","14,56","10,65","99,49","96,96","90,53","29,66","15,26","151,96","0,37","7,37","5,39","67,78",14058,"99,1","1,07","4,577","0,381"
Kota Malang,2022,"145,28","83,38","15,76","10,69","99,92","99,68","80,75","53,68","15,24","846,13","2,06","4,37","7,66","63,08",16897,"96,76","0,16","7,617","0,421"
Kota Probolinggo,2022,"56,67","76,08","13,67","9,29","99,88","99,28","81,94","22,01","15,64","243,2","0,59","6,65","4,57","68,39",12571,100,"0,84","4,448","0,322"
Kota Pasuruan,2022,"35,29","77,71","13,64","9,67","99,92","98,78","78,7","22,92","14,95","211,5","0,51","6,37","6,18","68,05",13803,100,"0,96","5,424","0,36"
Kota Mojokerto,2022,"20,21","80,19","14,02","10,8","99,67","98,89","81,96","27,66","14,34","134,35","0,33","5,98","5,05","69,41",14054,"98,65","0,82","6,645","0,381"
Kota Madiun,2022,"33,92","83,02","14,43","11,67","99,79","98,43","72,92","33,41","14,14","199,19","0,48","4,76","6,39","66,85",16503,"98,54","1,17","5,514","0,398"
Kota Surabaya,2022,"350,54","83,32","14,83","10,51","97,88","97,77",63,"41,09","17,85",2.887.22,"7,02","4,72","7,62","69,99",18345,"95,66","0,26","8,595","0,388"
Kota Batu,2022,"136,74","78,13","14,4","9,63","99,94","99,25","80,28","41,37","14,71","216,74","0,53","3,79","8,43","71,51",13094,"99,12","0,99","1,116","0,308"
Pacitan,2023,"1389,92","70,94","12,68","7,88","99,98","97,27","79,06","12,14","9,18",588,"1,42","13,65","1,83","81,64",9681,"80,19","0,12",410,"0,352"
Ponorogo,2023,"1305,7","73,18","13,77","7,78","99,28","98,2","79,36","19,04","11,70","959,5","2,31","9,53","4,66","75,88",10658,"94,42","0,39",676,"0,341"
Trenggalek,2023,"1147,22","71,96","12,62","7,9","99,43","96,91","83,34","13,68","12,09","741,2","1,78","10,63","4,52","80,72",10465,"84,87","0,5",593,"0,336"
Tulungagung,2023,"1055,65","74,65","13,34","8,66","99,59","98,66","78,12","23,66","11,97","1107,8","2,67","6,53","5,65","74,7",11565,"97,9","0,6",968,"0,328"
Blitar,2023,"1336,48","72,84","12,65","7,83","98,12","96,5","69,63","16,04","13,88","1253,6","3,02","8,69","4,91","73,5",11499,"96,41","0,88",718,"0,36"
Kediri,2023,"1386,05","74,68","13,62","8,24","98,42","99,23","84,4","18,4","15,10","1677,2","4,04","10,72","5,79","68,74",11952,92,"0,92",1101,"0,306"
Malang,2023,"3530,65",73,"13,48","7,75","99,71","95,27","65,84","29,7","15,85","2715,6","6,54","9,45","5,7","70,66",10791,"98,18","0,83",782,"0,378"
Lumajang,2023,"1790,9","69,37","12,16","7,14","99,65","98,63","59,1","16,44","13,63","1139,1","2,74","8,93","3,67","68,49",9720,"95,49","0,64",634,"0,391"
Jember,2023,"3092,34","70,42","13,49","6,52","99,61","95,11","73,93","24,31","14,33","2586,8","6,23","9,51","4,01","72,3",10277,"97,51","0,71",781,"0,344"
Banyuwangi,2023,"5782,4","73,79","13,12","7,76","98,45","99,2","74,45","16,16","13,84","1743,9","4,2","7,34","4,75","79,04",12820,"97,44","0,76",485,"0,351"
Bondowoso,2023,"1525,97","70,56","13,32","6,36","99,51","98,67","68,71","15,12","9,29","788,2","1,9","13,34","4,15","74,39",11255,"94,43","0,56",507,"0,35"
Situbondo,2023,"1669,87","70,65","13,19","6,9","99,16","95,05","63,52","12,49","10,14",697,"1,68","11,9","3,27","75,28",10702,"97,45","0,58",421,"0,326"
Probolinggo,2023,"1696,21","70,36","12,63","6,29","99,67","96,91","63,59","17,76","12,04","1176,9","2,83","17,19","3,24","69,48",11756,"97,75","0,77",682,"0,319"
Pasuruan,2023,"1474,02","71,91","12,77","7,44","98,71","97,13","62,77","16,98","14,37","1644,5","3,96","9,24","5,48","71,21",11239,"97,63","0,86",1101,"0,367"
Sidoarjo,2023,"634,38","81,88","14,97","10,78","99,83","99,25","82,88","37,67","16,34","2148,7","5,17",5,"8,05","69,62",15311,"97,19","1,14",2968,"0,359"
Mojokerto,2023,"717,83","76,23","12,97","9,11","99,82","99,33","81,91","15,17","14,78","1145,5","2,76","9,8","4,67","72,51",13467,"98,9","0,85",1163,"0,338"
Jombang,2023,"1115,09","75,16","13,59","8,77","99,71","98,67","85,43","20,56","14,16","1351,3","3,25","9,15","4,66","71,91",11999,"98,01","0,91",1218,"0,339"
Nganjuk,2023,"1224,25","74,7","13,17","8,24","99,75","97,9","85,2","19,66","13,37","1124,7","2,71","10,89","4,68","66,89",12821,"98,86","0,68",872,"0,324"
Madiun,2023,"1037,58","74,02","13,23","7,95","98,86","98,5","85,03","20,94","12,51","754,5","1,82","11,04","5,14","72,49",12259,"96,39","0,49",678,"0,342"
Magetan,2023,"688,84","76,3","14,07","8,67","99,71","99,22","85,78","23,17","12,40","681,7","1,64","9,8","4,16","78,48",12495,"99,61","0,59",965,"0,373"
Ngawi,2023,"1295,98","73,28","12,85","7,78","99,7","99,11","78,42","13,32","11,64","880,7","2,12","14,4","2,41","69,43",11897,"97,51","0,44",631,"0,328"
Bojonegoro,2023,"2198,79","71,8","12,92","7,45","99,56","99,37","82,68","17,9","12,13","1319,6","3,18","12,18","4,63","74,29",10776,"97,59","0,5",571,"0,283"
Tuban,2023,"1834,15","71,4","12,27","7,4","99,51","98,25","64,13","14,34","12,69","1218,6","2,93","14,91","4,4","74,73",11174,"95,22","0,62",617,"0,338"
Lamongan,2023,"1782,05","75,29","14,02","8,34","99,67","99,53","74,25","25,75","9,24","1369,5","3,3","12,42","5,46","75,08",12019,"79,26","0,68",781,"0,295"
Gresik,2023,"1191,25","78,44","13,97","10,01","99,47","98,32","82,29","28,14","12,67","1350,4","3,25","10,96","6,82","70,12",13870,"92,54","1,08",1075,"0,33"
Bangkalan,2023,"1001,44","66,82","11,97","5,99","99,75","95,68","53,34","15,91","13,88","1091,8","2,63","19,35","6,18","71,49",9438,"96,3","1,07",839,"0,299"
Sampang,2023,"1233,08","66,19","12,54","5,07","99,01","92,49","64,14","15,64","10,94","1004,5","2,42","21,76","2,72","73,54",9363,"94,29","1,29",818,"0,254"
Pamekasan,2023,"792,24","70,32","13,68","7,15","98,82","97,08","75,13","17,48","9,28","875,8","2,11","13,85","1,74","77,14",9420,"97,91","1,09",1101,"0,348"
Sumenep,2023,"1998,54","69,13","13,58","5,94","99,4","97,43","79,81","17,49","7,32","1146,6","2,76","18,7","1,71","78,86",9807,"98,1","0,71",550,"0,287"
Kota Kediri,2023,"63,4","80,97","15,45","10,69","99,54","98,3","87,18","33,48","15,73","295,2","0,71","7,15","4,06","71,83",13276,"99,6","2,94",4391,"0,4"
Kota Blitar,2023,"32,57","80,78","14,57","10,78","99,01","97,2","91,7","30,56","15,45","153,4","0,37","7,3","5,24","72,26",14548,"98,79","2,86",4619,"0,397"
Kota Malang,2023,"145,28",84,"15,77","10,94","99,5","98,54","80,9","50,38","15,33","865,3","2,08","4,26","6,8","67,58",17222,"99,06","2,55",7790,"0,413"
Kota Probolinggo,2023,"56,67","76,93","13,73","9,56","99,68","99,12","82,9","22,55","15,79",247,"0,59","6,48","4,53","70,61",12999,100,"3,08",4517,"0,347"
Kota Pasuruan,2023,"35,29","78,3","13,66","9,78","99,7","99,01","78,91","22,78","15,06","216,4","0,52","6,6","5,64","75,65",14250,"99,38","4,04",5549,"0,378"
Kota Mojokerto,2023,"20,21","80,9","14,04","11,05","99,5","98,73","82,23","24,82","14,10","136,1","0,33","5,77","4,73","72,5",14422,"99,95","2,8",6732,"0,353"
Kota Madiun,2023,"33,92","83,71","14,44","11,82","99,42","98,44","74,77","33,44","14,21",200,"0,48","4,74","5,85","69,29",17115,"99,1","2,45",5536,"0,416"
Kota Surabaya,2023,"350,54","83,99","14,85","10,7","97,88","98,54","65,29","40,33","17,68","2911,4","7,01","4,65","6,76","68,73",18977,"98,15","1,29",8667,"0,423"
Kota Batu,2023,"136,74","79,07","14,56","9,85","99,23","98,5","79,99",38,"14,70","220,2","0,53","3,31","4,52","78,99",13603,"99,16","3,38",1134,"0,33"
Pacitan,2024,"1389,92","70,94","12,69","7,88","99,55","96,64","84,81","10,75","9,22","588,6","1,41","13,08","1,83","81,64",9681,"80,19","0,11",411,"0,327"
Ponorogo,2024,"1305,7","73,18","13,78","7,78","98,47","99,33","83,84","20,8","11,94","962,9","2,3","9,11","4,66","75,88",10658,"94,42","0,38",679,"0,326"
Trenggalek,2024,"1147,22","71,96","12,63","7,9","99,38","98,85","81,14","13,52","12,07","744,5","1,78","10,5","4,52","80,72",10465,"84,87","0,49",596,"0,35"
Tulungagung,2024,"1055,65","74,65","13,36","8,66","99,6","99,91","82,04","22,07","11,93","1113,9","2,66","6,28","5,65","74,7",11565,"97,9","0,58",973,"0,321"
Blitar,2024,"1336,48","72,84","12,67","7,83","99,53","97,53","73,67","14,92","12,63","1263,7","3,02","8,16","4,91","73,5",11499,"96,41","0,86",724,"0,353"
Kediri,2024,"1386,05","74,68","13,63","8,24","99,99","97,63","81,87","18,16","14,89","1689,9","4,04","9,95","5,79","68,74",11952,92,"0,88",1109,"0,3"
Malang,2024,"3530,65",73,"13,49","7,75","99,61","96,92","71,45","28,29","15,89",2736,"6,54","8,98","5,7","70,66",10791,"98,18","0,81",788,"0,343"
Lumajang,2024,"1790,9","69,37","12,41","7,14","97,87","98,86","64,7","16,35","13,93","1145,9","2,74","8,65","3,67","68,49",9720,"95,49","0,63",638,"0,363"
Jember,2024,"3092,34","70,42","13,5","6,52","98,83","95,49","74,35","26,11","14,73","2603,8","6,23","9,01","4,01","72,3",10277,"97,51","0,7",786,"0,321"
Banyuwangi,2024,"5782,4","73,79","13,14","7,76","99,61","99,32","79,98","16,52","14,06","1754,4","4,2","6,54","4,75","79,04",12820,"97,44","0,72",488,"0,312"
Bondowoso,2024,"1525,97","70,56","13,33","6,36","97,86","94,97","69,97","14,53","9,37","792,3","1,89","12,6","4,15","74,39",11255,"94,43","0,55",510,"0,333"
Situbondo,2024,"1669,87","70,65","13,2","6,9","99,28","98,93","69,59","11,28","10,63","700,7","1,68","11,51","3,27","75,28",10702,"97,45","0,57",424,"0,385"
Probolinggo,2024,"1696,21","70,36","12,64","6,29","99,56","90,74","57,03","18,43","12,03","1185,2","2,83","16,45","3,24","69,48",11756,"97,75","0,75",687,"0,339"
Pasuruan,2024,"1474,02","71,91","12,78","7,44","98,99","93,82","68,54","16,24","14,50","1657,2","3,96","8,63","5,48","71,21",11239,"97,63","0,84",1110,"0,331"
Sidoarjo,2024,"634,38","81,88","15,22","10,78","99,82","99,93","88,33","38,09","16,44","2171,5","5,19","4,53","8,05","69,62",15311,"97,19","1,12",2999,"0,327"
Mojokerto,2024,"717,83","76,23","12,99","9,11","99,52","99,97","85,84","15,01","14,77","1154,3","2,76","9,37","4,67","72,51",13467,"98,9","0,83",1172,"0,337"
Jombang,2024,"1115,09","75,16","13,61","8,77","99,74","98,37","84,42","21,3","14,30","1362,7","3,26","8,6","4,66","71,91",11999,"98,01","0,89",1228,"0,302"
Nganjuk,2024,"1224,25","74,7","13,18","8,24","99,24","95,31","91,1","20,43","13,24","1131,8","2,71","10,17","4,68","66,89",12821,"98,86","0,67",878,"0,289"
Madiun,2024,"1037,58","74,02","13,27","7,95","98,05","99,95","89,36","20,14","12,52","757,8","1,81","10,63","5,14","72,49",12259,"96,39","0,48",681,"0,309"
Magetan,2024,"688,84","76,3","14,08","8,67","98,62","99,97","82,92","20,61","11,72","685,5","1,64","9,32","4,16","78,48",12495,"99,61","0,58",970,"0,371"
Ngawi,2024,"1295,98","73,28","12,89","7,78","99,85","98,71","82,25","11,75","11,55","884,1","2,11","13,81","2,41","69,43",11897,"97,51","0,43",633,"0,289"
Bojonegoro,2024,"2198,79","71,8","13,18","7,45","99,77","98,19","85,5","21,13","11,67","1325,3","3,17","11,69","4,63","74,29",10776,"97,59","0,48",573,"0,31"
Tuban,2024,"1834,15","71,4","12,54","7,4","99,65","96,98","70,05","11,97","12,98","1225,2","2,93","14,36","4,4","74,73",11174,"95,22","0,6",621,"0,335"
Lamongan,2024,"1782,05","75,29","14,03","8,34","99,99","99,99","79,09","24,04","9,11","1378,2","3,3","12,16","5,46","75,08",12019,"79,26","0,67",786,"0,281"
Gresik,2024,"1191,25","78,44","13,98","10,01","99,33","99,19","81,95","27,68","12,73",1364,"3,26","10,32","6,82","70,12",13870,"92,54","1,06",1086,"0,322"
Bangkalan,2024,"1001,44","66,82","11,98","5,99","99,94","97,24","53,3","14,21","14,39","1102,5","2,64","18,66","6,18","71,49",9438,"96,3","1,04",847,"0,301"
Sampang,2024,"1233,08","66,19","12,55","5,07","99,97","94,39","62,62","13,73","11,18","1016,3","2,43","20,83","2,72","73,54",9363,"94,29","1,26",827,"0,233"
Pamekasan,2024,"792,24","70,32","13,69","7,15","99,31","97,8","65,92","19,29","9,46","884,7","2,12","13,41","1,74","77,14",9420,"97,91","1,07",1113,"0,301"
Sumenep,2024,"1998,54","69,13","13,59","5,94","98,4","95,23","68,48","18,5","7,46","1153,2","2,76","17,78","1,71","78,86",9807,"98,1","0,68",553,"0,308"
Kota Kediri,2024,"63,4","80,97","15,71","10,69","98,95","99,92","92,87","30,44","15,28","298,2","0,71","6,51","4,06","71,83",13276,"99,6","1,05",4436,"0,337"
Kota Blitar,2024,"32,57","80,78","14,81","10,78","99,96","99,94","94,58","30,33","15,30","154,9","0,37","6,75","5,24","72,26",14548,"98,79","1,02",4664,"0,353"
Kota Malang,2024,"145,28",84,"15,79","10,94","99,05","99,99","86,66","50,33","15,60","872,7","2,09","3,91","6,8","67,58",17222,"99,06","0,9",7857,"0,422"
Kota Probolinggo,2024,"56,67","76,93","13,98","9,56","99,28","96,27","88,82","25,61","15,75","249,5","0,6","6,18","4,53","70,61",12999,100,"1,09",4564,"0,344"
Kota Pasuruan,2024,"35,29","78,3","13,67","9,78","99,94","94,19","83,91","19,99","14,85","219,4","0,52","6,32","5,64","75,65",14250,"99,38","1,43",5626,"0,334"
Kota Mojokerto,2024,"20,21","80,9","14,13","11,05","98,97","99,6","87,84","29,55","14,34","137,4","0,33","5,57","4,73","72,5",14422,"99,95","0,99",6796,"0,357"
Kota Madiun,2024,"33,92","83,71","14,54","11,82","99,65","99,9","79,96","31,18","14,64","201,8","0,48","4,38","5,85","69,29",17115,"99,1","0,89",5585,"0,435"
Kota Surabaya,2024,"350,54","83,99","14,87","10,7","98,81","99,95","70,99","42,46","17,19",2922,"6,99","3,96","6,76","68,73",18977,"98,15","0,44",8698,"0,381"
Kota Batu,2024,"136,74","79,07","14,58","9,85","99,92","99,96","84,67","36,33","15,04","222,7","0,53","3,06","4,52","78,99",13603,"99,16","1,19",1147,"0,327"